Time;J_MUR_T1;TP_EF_T1
21.11.2015 9:56:0;83.39;81.35
21.11.2015 9:57:0;83.39;81.22
21.11.2015 9:58:0;83.39;81.22
21.11.2015 9:59:0;83.43;80.92
21.11.2015 10:0:0;83.52;81.00
21.11.2015 10:1:0;83.52;81.00
21.11.2015 10:2:0;83.52;80.92
21.11.2015 10:3:0;83.52;81.00
21.11.2015 10:4:0;83.52;81.00
21.11.2015 10:5:0;83.52;81.22
21.11.2015 10:6:0;83.52;81.44
21.11.2015 10:7:0;83.52;81.61
21.11.2015 10:8:0;83.61;81.83
21.11.2015 10:9:0;83.61;81.92
21.11.2015 10:10:0;83.61;81.92
21.11.2015 10:11:0;83.65;81.92
21.11.2015 10:12:0;83.83;82.13
21.11.2015 10:13:0;83.83;82.13
21.11.2015 10:14:0;83.96;82.13
21.11.2015 10:15:0;84.04;82.26
21.11.2015 10:16:0;84.17;82.26
21.11.2015 10:17:0;84.17;82.26
21.11.2015 10:18:0;84.26;82.26
21.11.2015 10:19:0;84.39;82.26
21.11.2015 10:20:0;84.52;82.26
21.11.2015 10:21:0;84.74;82.26
21.11.2015 10:22:0;84.91;82.26
21.11.2015 10:23:0;84.95;82.26
21.11.2015 10:24:0;85.13;82.26
21.11.2015 10:25:0;85.13;82.26
21.11.2015 10:26:0;85.13;82.26
21.11.2015 10:27:0;85.13;82.26
21.11.2015 10:28:0;85.13;82.13
21.11.2015 10:29:0;85.26;82.13
21.11.2015 10:30:0;85.17;82.13
21.11.2015 10:31:0;85.17;82.05
21.11.2015 10:32:0;84.87;82.05
21.11.2015 10:33:0;84.82;82.05
21.11.2015 10:34:0;84.39;81.87
21.11.2015 10:35:0;84.17;81.87
21.11.2015 10:36:0;83.87;81.87
21.11.2015 10:37:0;83.52;81.87
21.11.2015 10:38:0;83.39;81.87
21.11.2015 10:39:0;83.17;81.87
21.11.2015 10:40:0;83.09;81.87
21.11.2015 10:41:0;83.00;81.87
21.11.2015 10:42:0;82.96;81.87
21.11.2015 10:43:0;82.96;81.87
21.11.2015 10:44:0;83.00;81.87
21.11.2015 10:45:0;83.09;81.87
21.11.2015 10:46:0;83.13;81.70
21.11.2015 10:47:0;83.13;81.83
21.11.2015 10:48:0;83.13;81.70
21.11.2015 10:49:0;83.13;81.70
21.11.2015 10:50:0;83.30;81.70
21.11.2015 10:51:0;83.39;81.70
21.11.2015 10:52:0;83.39;81.70
21.11.2015 10:53:0;83.74;81.83
21.11.2015 10:54:0;83.78;81.83
21.11.2015 10:55:0;83.78;81.83
21.11.2015 10:56:0;83.78;81.83
21.11.2015 10:57:0;83.78;81.70
21.11.2015 10:58:0;83.78;81.70
21.11.2015 10:59:0;83.65;81.70
